Frame,L_Act,L_Obs,R_Act,R_Obs
0,0.030000,0.034960,0.030000,0.034952
1,0.019549,0.031441,0.019331,0.031427
2,0.019692,0.027919,0.020807,0.027899
3,0.021412,0.024410,0.023684,0.024653
4,0.024655,0.024101,0.026793,0.025419
5,0.028630,0.027051,0.027953,0.026431
6,0.030412,0.029244,0.028306,0.026977
7,0.029875,0.029355,0.028414,0.027211
8,0.029195,0.028731,0.028447,0.027304
9,0.028792,0.028140,0.028457,0.027339
10,0.028598,0.027760,0.028460,0.027352
11,0.028516,0.027555,0.028460,0.027356
12,0.028482,0.027455,0.028460,0.027356
13,0.028469,0.027410,0.028461,0.027356
14,0.028464,0.027389,0.028461,0.027357
15,0.028463,0.027381,0.028461,0.027357
16,0.028463,0.027378,0.028461,0.027357
17,0.028463,0.027377,0.028461,0.027357
18,0.028463,0.027377,0.028461,0.027357
19,0.028463,0.027375,0.028461,0.027357
20,0.028463,0.027375,0.028462,0.027357
21,0.028462,0.027345,0.028462,0.027358
22,0.028462,0.027316,0.028462,0.027358
23,0.028462,0.027304,0.028462,0.027358
24,0.028462,0.027300,0.028462,0.027358
25,0.024927,0.025750,0.028462,0.027358
26,0.021391,0.023498,0.028462,0.027358
27,0.021266,0.022160,0.028462,0.027358
28,0.021266,0.021630,0.028462,0.027358
29,0.021267,0.021411,0.028462,0.027358
30,0.021267,0.021278,0.028462,0.027358
31,0.021268,0.021143,0.028462,0.027358
32,0.021267,0.021035,0.028462,0.027358
33,0.021263,0.020923,0.028462,0.027358
34,0.021266,0.020597,0.028462,0.027358
35,0.021259,0.020494,0.028462,0.027358
36,0.021242,0.020450,0.028462,0.027359
37,0.021242,0.020437,0.028462,0.027359
38,0.021241,0.020433,0.028462,0.027359
39,0.021241,0.020433,0.028462,0.027359
40,0.021242,0.020433,0.028462,0.027359
41,0.021242,0.020433,0.028462,0.027359
42,0.021242,0.020433,0.028462,0.027359
43,0.021242,0.020433,0.028462,0.027359
44,0.021242,0.020438,0.028462,0.027359
45,0.021264,0.020443,0.028462,0.027359
46,0.021250,0.020443,0.028462,0.027359
47,0.021248,0.020442,0.028462,0.027359
48,0.021247,0.020441,0.028462,0.027359
49,0.021248,0.020440,0.028462,0.027359
50,0.021234,0.020428,0.028462,0.027359
51,0.021234,0.020427,0.028462,0.027359
52,0.021234,0.020427,0.028462,0.027359
53,0.021234,0.020427,0.028462,0.027359
54,0.021234,0.020426,0.028462,0.027359
55,0.021235,0.020426,0.028462,0.027359
56,0.021234,0.020426,0.028462,0.027359
57,0.021234,0.020426,0.028462,0.027359
58,0.021234,0.020426,0.028462,0.027359
59,0.021206,0.020407,0.028462,0.027359
60,0.021225,0.020407,0.028462,0.027359
61,0.021226,0.020407,0.028462,0.027359
62,0.021227,0.020407,0.028462,0.027359
63,0.021226,0.020407,0.028462,0.027359
64,0.021226,0.020407,0.028462,0.027359
65,0.024410,0.022531,0.028462,0.027359
66,0.027155,0.024996,0.028462,0.027359
67,0.028063,0.026377,0.028462,0.027359
68,0.028340,0.026983,0.028462,0.027359
69,0.028424,0.027222,0.028462,0.027359
70,0.028450,0.027310,0.028462,0.027359
71,0.028458,0.027341,0.028462,0.027359
72,0.028461,0.027353,0.028462,0.027359
73,0.028461,0.027356,0.028462,0.027359
74,0.028461,0.027357,0.028462,0.027359
75,0.028461,0.027357,0.028462,0.027360
76,0.028461,0.027358,0.028462,0.027360
77,0.028461,0.027358,0.028462,0.027360
78,0.028461,0.027358,0.028462,0.027360
79,0.028461,0.027358,0.028462,0.027360
80,0.028461,0.027358,0.028462,0.027360
81,0.028461,0.027358,0.028462,0.027360
82,0.028461,0.027358,0.028462,0.027360
83,0.028461,0.027358,0.028462,0.027360
84,0.028461,0.027360,0.028462,0.027360
85,0.028480,0.027372,0.028462,0.027360
86,0.028470,0.027371,0.028462,0.027360
87,0.028465,0.027371,0.028462,0.027360
88,0.028463,0.027371,0.028462,0.027360
89,0.028463,0.027371,0.028462,0.027360
90,0.028463,0.027371,0.028462,0.027360
91,0.028463,0.027371,0.028462,0.027360
92,0.028463,0.027371,0.028462,0.027360
93,0.028463,0.027371,0.028462,0.027360
94,0.028463,0.027371,0.028462,0.027360
95,0.028462,0.027371,0.028462,0.027360
96,0.028462,0.027371,0.028462,0.027360
97,0.028462,0.027371,0.028462,0.027360
98,0.028462,0.027371,0.028462,0.027360
99,0.028462,0.027371,0.028462,0.027360
